date,losses,player,wins
1970-05-08,23,Takano Hideki,18
1963-01-20,33,Muramatsu Ryuichi,16
1961-12-30,77,Kanda Ei,41
1971-04-17,35,Yo Kaei,22
1969-01-19,94,Kato Tomoko,95
-,2,Miyatani Fuga,1
1968-04-14,41,Omori Yasushi,14
1989-01-30,99,Zhou Yinnan,63
1982-12-24,100,Zhou Pingqiang,74
-,4,Stanislaw Frejlak,2
1993-08-01,58,Lee Yujin,35
1948-01-02,94,Sakai Takeshi,61
-,1,Lin Yiting,1
2004-08-20,20,Ding Mingjun,7
-,3,Hang Xiaotong,2
1981-07-31,20,Mimura Kaori,15
-,60,Zhang Jiahuan,39
2004-04-20,4,Honda Mariko,3
2002-07-25,15,Fujii Koki,8
1992-07-09,17,Nishiyama Shizuka,17
2001-03-04,12,Kim Jimyeong,1
1965-06-09,54,Aoki Shinichi,23
1997-01-09,10,Iwata Saeka,7
2004-07-15,14,Zhang Mengyao,5
1969-09-23,35,Izumitani Hideo,14
1971-02-12,143,Yoshida Mika,139
